,precision,recall,f1-score,support
normal,1.0,0.9993116108306562,0.9996556869046253,4358.0
warning,0.9964953271028038,0.9964953271028038,0.9964953271028038,856.0
out_of_spec,0.992,0.9973190348525469,0.9946524064171123,373.0
severe,0.9975845410628019,1.0,0.9987908101571947,413.0
accuracy,0.9988333333333334,0.9988333333333334,0.9988333333333334,0.9988333333333334
macro avg,0.9965199670414014,0.9982814931965017,0.997398557645434,6000.0
weighted avg,0.9988364025764895,0.9988333333333334,0.9988342392864769,6000.0
