,precision,recall,f1-score,support
normal,1.0,0.998595900028082,0.9992974567935928,3561.0
warning,0.9931335830212235,0.9974921630094044,0.9953081013450109,1595.0
out_of_spec,0.9877149877149877,0.9828850855745721,0.9852941176470589,409.0
severe,0.9977011494252873,0.9977011494252873,0.9977011494252873,435.0
accuracy,0.9971666666666666,0.9971666666666666,0.9971666666666666,0.9971666666666666
macro avg,0.9946374300403746,0.9941685745093365,0.9944002063027375,6000.0
weighted avg,0.9971705824823802,0.9971666666666666,0.9971666599008205,6000.0
